date,time,cases,pop,dpopdt,beta_eff,oni,roni,beta_eff_cov,season6
1981-01-02,1981.0027397260274,,4.697649880445136e6,289.4580575552594,0.5896310479928404,-0.3253568,-0.26787138,0.7376565057774466,0.1585818580337406
1981-01-03,1981.0054794520547,,4.697939347420734e6,289.47589382458887,0.4207525010486661,-0.3253568,-0.26787138,0.7376565057774466,0.1507628269889329
1981-01-04,1981.0082191780823,,4.698228832233152e6,289.4937311929809,0.5243913156992519,-0.3253568,-0.26787138,0.7376565057774466,0.14320513156636597
1981-01-05,1981.0109589041097,,4.698518334883487e6,289.5115696605031,0.6261003419299119,-0.3253568,-0.26787138,0.7376565057774466,0.13590432980203307
1981-01-06,1981.013698630137,,4.698807855372839e6,289.52940922722325,0.6947628508817605,-0.3253568,-0.26787138,0.7376565057774466,0.1288559797300352
1981-01-07,1981.0164383561644,,4.699097393702308e6,289.54724989320914,0.6138351488559833,-0.3253568,-0.26787138,0.7376565057774466,0.12205563938511141
1981-01-08,1981.0191780821917,,4.699386949872992e6,289.56509165852856,0.6755219135959698,-0.3253568,-0.26787138,0.7376565057774466,0.11549886680200074
1981-01-09,1981.021917808219,,4.699676523885991e6,289.5829345232491,0.615645397817671,-0.3253568,-0.26787138,0.7376565057774466,0.1091812200154422
1981-01-10,1981.0246575342467,,4.699966115742405e6,289.60077848743856,0.5582841109272427,-0.3253568,-0.26787138,0.7376565057774466,0.10309825705967961
1981-01-11,1981.027397260274,,4.700255725443332e6,289.61862355116466,0.3175052665311628,-0.3253568,-0.26787138,0.7376565057774466,0.09724553597046139
1981-01-12,1981.0301369863014,,4.700545352989874e6,289.63646971449526,0.0813655019852544,-0.3253568,-0.26787138,0.7376565057774466,0.09161861478201204
1981-01-13,1981.0328767123287,,4.700834998383128e6,289.65431697749807,0.0516027312795248,-0.3253568,-0.26787138,0.7376565057774466,0.08621305152907063
1981-01-14,1981.035616438356,,4.701124661624195e6,289.6721653402408,0.0611395310369012,-0.3253568,-0.26787138,0.7376565057774466,0.08102440424637615
1981-01-15,1981.0383561643835,,4.701414342714176e6,289.6900148027912,0.16296425093567,-0.3253568,-0.26787138,0.7376565057774466,0.07604823096866768
1981-01-16,1981.041095890411,,4.701704041654167e6,289.7078653652171,0.1997676741998839,-0.3253568,-0.26787138,0.7376565057774466,0.07128008973029702
1981-01-17,1981.0438356164384,,4.701993758445272e6,289.7257170275863,0.1886814915895009,-0.3253568,-0.26787138,0.7376565057774466,0.06671553856679432
1981-01-18,1981.0465753424658,,4.702283493088589e6,289.7435697899665,0.1584509080102885,-0.3253568,-0.26787138,0.7376565057774466,0.06235013551249437
1981-01-19,1981.0493150684931,,4.702573245585219e6,289.76142365242555,0.2163573618349755,-0.3253568,-0.26787138,0.7376565057774466,0.058179438602136174
1981-01-20,1981.0520547945205,,4.702863015936261e6,289.7792786150312,0.3256997624786558,-0.3253568,-0.26787138,0.7376565057774466,0.05419900587045878
1981-01-21,1981.054794520548,,4.703152804142816e6,289.79713467785126,0.5319262462509526,-0.3253568,-0.26787138,0.7376565057774466,0.050404395351893894
1981-01-22,1981.0575342465754,,4.703442610205984e6,289.8149918409535,0.5415670054028708,-0.3253568,-0.26787138,0.7376565057774466,0.04679116508181007
1981-01-23,1981.0602739726028,,4.703732434126864e6,289.8328501044057,0.6590256030241745,-0.3253568,-0.26787138,0.7376565057774466,0.04335487309462378
1981-01-24,1981.0630136986301,,4.704022275906559e6,289.8507094682757,0.6934579761719565,-0.3253568,-0.26787138,0.7376565057774466,0.04009107742507407
1981-01-25,1981.0657534246575,,4.704312135546168e6,289.8685699326313,0.759996519590868,-0.3253568,-0.26787138,0.7376565057774466,0.03699533610789997
1981-01-26,1981.0684931506848,,4.704602013046791e6,289.8864314975403,0.749170677867965,-0.3253568,-0.26787138,0.7376565057774466,0.034063207177840504
1981-01-27,1981.0712328767124,,4.70489190840953e6,289.9042941630706,0.7675623773856336,-0.3253568,-0.26787138,0.7376565057774466,0.031290248669411075
1981-01-28,1981.0739726027398,,4.705181821635485e6,289.9221579292899,0.9067813369890088,-0.3253568,-0.26787138,0.7376565057774466,0.028672018617810668
1981-01-29,1981.0767123287671,,4.705471752725756e6,289.940022796266,0.9627659785171246,-0.3253568,-0.26787138,0.7376565057774466,0.026204075057541642
1981-01-30,1981.0794520547945,,4.7057617016814435e6,289.95788876406687,1.132511788739785,-0.3253568,-0.26787138,0.7376565057774466,0.023881976023343035
1981-01-31,1981.0821917808219,100.0,4.70605166850365e6,289.9757558327603,1.181683750161771,-0.3253568,-0.26787138,0.7376565057774466,0.021701279549953878
1981-02-01,1981.0849315068492,,4.706341653193476e6,289.99362400241404,0.8906487936490948,-0.3253568,-0.26787138,0.7376565057774466,0.019657543672113212
1981-02-02,1981.0876712328768,,4.706631655752023e6,290.011493273096,0.9521570376569352,-0.3253568,-0.26787138,0.7376565057774466,0.017746326424406832
1981-02-03,1981.0904109589042,,4.70692167618039e6,290.029363644874,1.196011797873621,-0.3253568,-0.26787138,0.7376565057774466,0.015963185841890697
1981-02-04,1981.0931506849315,,4.707211714479679e6,290.04723511781594,0.999062407297104,-0.3253568,-0.26787138,0.7376565057774466,0.014303679959139792
1981-02-05,1981.0958904109589,,4.707501770650992e6,290.06510769198957,1.08891145788911,-0.3253568,-0.26787138,0.7376565057774466,0.012763366810893148
1981-02-06,1981.0986301369862,,4.70779184469543e6,290.0829813674629,1.1442546462808676,-0.3253568,-0.26787138,0.7376565057774466,0.011337804431889803
1981-02-07,1981.1013698630136,,4.708081936614094e6,290.10085614430363,0.728470458462721,-0.3253568,-0.26787138,0.7376565057774466,0.010022550856868795
1981-02-08,1981.1041095890412,,4.708372046408086e6,290.11873202257976,0.8118867905671084,-0.3253568,-0.26787138,0.7376565057774466,0.008813164120473057
1981-02-09,1981.1068493150685,,4.708662174078506e6,290.136609002359,1.013295604145948,-0.3253568,-0.26787138,0.7376565057774466,0.007705202257642057
1981-02-10,1981.109589041096,,4.708952319626458e6,290.1544870837095,0.8727339541675927,-0.3253568,-0.26787138,0.7376565057774466,0.00669422330301013
1981-02-11,1981.1123287671232,,4.709242483053042e6,290.1723662666988,0.984218464116826,-0.3253568,-0.26787138,0.7376565057774466,0.005775785291316312
1981-02-12,1981.1150684931506,,4.709532664359358e6,290.190246551395,1.1462919848758966,-0.3253568,-0.26787138,0.7376565057774466,0.004945446257299637
1981-02-13,1981.1178082191782,,4.709822863546511e6,290.208127937866,1.2495363747876276,-0.3253568,-0.26787138,0.7376565057774466,0.004198764235640523
1981-02-14,1981.1205479452055,,4.7101130806156015e6,290.2260104261795,1.0044664556795762,-0.3253568,-0.26787138,0.7376565057774466,0.003531297261201635
1981-02-15,1981.123287671233,,4.710403315567731e6,290.2438940164036,0.7504475261705044,-0.3253568,-0.26787138,0.7376565057774466,0.0029386033686566292
1981-02-16,1981.1260273972603,,4.710693568404001e6,290.2617787086061,0.829350550374368,-0.3253568,-0.26787138,0.7376565057774466,0.002416240592744542
1981-02-17,1981.1287671232876,,4.710983839125515e6,290.27966450285487,0.7293045217470956,-0.3253568,-0.26787138,0.7376565057774466,0.001959766968204408
1981-02-18,1981.131506849315,,4.711274127733375e6,290.2975513992179,0.5483456386509821,-0.3253568,-0.26787138,0.7376565057774466,0.0015647405297752645
1981-02-19,1981.1342465753426,,4.711564434228681e6,290.31543939776304,1.0333676997095669,-0.3253568,-0.26787138,0.7376565057774466,0.0012267193121703356
1981-02-20,1981.13698630137,,4.711854758612538e6,290.33332849855833,1.0669449527126411,-0.3253568,-0.26787138,0.7376565057774466,0.0009412613501844562
1981-02-21,1981.1397260273973,,4.712145100886046e6,290.35121870167154,1.1748760723257592,-0.3253568,-0.26787138,0.7376565057774466,0.0007039246785263047
1981-02-22,1981.1424657534246,,4.712435461050308e6,290.3691100071706,1.2242304551671732,-0.3253568,-0.26787138,0.7376565057774466,0.000510267331934917
1981-02-23,1981.145205479452,,4.7127258391064275e6,290.38700241512356,1.2926425682359437,-0.3253568,-0.26787138,0.7376565057774466,0.00035584734514932845
1981-02-24,1981.1479452054793,,4.713016235055506e6,290.4048959255982,1.3665835498198573,-0.3253568,-0.26787138,0.7376565057774466,0.00023622275290857505
1981-02-25,1981.150684931507,,4.713306648898647e6,290.42279053866264,1.377833461509162,-0.3253568,-0.26787138,0.7376565057774466,0.00014695158994542024
1981-02-26,1981.1534246575343,,4.71359708063695e6,290.4406862543846,1.3020715827393723,-0.3253568,-0.26787138,0.7376565057774466,8.359189101340997e-5
1981-02-27,1981.1561643835616,,4.713887530271523e6,290.45858307283225,1.282738573567597,-0.3253568,-0.26787138,0.7376565057774466,4.1701690842973064e-5
1981-02-28,1981.158904109589,55.0,4.7141779978034645e6,290.4764809940734,1.109345290608108,-0.3253568,-0.26787138,0.7376565057774466,1.6839024173145188e-5
1981-03-01,1981.1616438356164,,4.714468483233879e6,290.49438001817606,1.319516659259456,-0.3253568,-0.26787138,0.7376565057774466,4.561925742962014e-6
1981-03-02,1981.164383561644,,4.714758986563869e6,290.51228014520814,1.259131009999504,-0.3253568,-0.26787138,0.7376565057774466,4.284302913312025e-7
1981-03-03,1981.1671232876713,,4.715049507794537e6,290.5301813752376,1.2486206752098,-0.3253568,-0.26787138,0.7376565057774466,0.0
1981-03-04,1981.1698630136987,,4.715340046926986e6,290.5480837083324,1.3226044253014415,-0.3253568,-0.26787138,0.7376565057774466,0.0
1981-03-05,1981.172602739726,,4.715630603962321e6,290.5659871445606,1.062382410179226,-0.3253568,-0.26787138,0.7376565057774466,0.0
1981-03-06,1981.1753424657534,,4.7159211789016435e6,290.58389168399015,1.1898357452221011,-0.3253568,-0.26787138,0.7376565057774466,0.0
1981-03-07,1981.1780821917807,,4.716211771746056e6,290.60179732668894,1.0934570602282372,-0.3253568,-0.26787138,0.7376565057774466,0.0
1981-03-08,1981.1808219178083,,4.716502382496664e6,290.619704072725,1.2583047144741577,-0.3253568,-0.26787138,0.7376565057774466,0.0
1981-03-09,1981.1835616438357,,4.71679301115457e6,290.6376119221664,1.339044723869037,-0.3253568,-0.26787138,0.7376565057774466,0.0
1981-03-10,1981.186301369863,,4.717083657720877e6,290.65552087508104,1.0641122382938073,-0.3253568,-0.26787138,0.7376565057774466,0.0
1981-03-11,1981.1890410958904,,4.717374322196688e6,290.67343093153687,1.2862068013377967,-0.3253568,-0.26787138,0.7376565057774466,0.0
1981-03-12,1981.1917808219177,,4.717665004583107e6,290.691342091602,1.33096007544678,-0.3253568,-0.26787138,0.7376565057774466,0.0
1981-03-13,1981.194520547945,,4.71795570488124e6,290.7092543553444,1.3593967461636396,-0.3253568,-0.26787138,0.7376565057774466,0.0
1981-03-14,1981.1972602739727,,4.718246423092186e6,290.72716772283206,1.3770706210239274,-0.3253568,-0.26787138,0.7376565057774466,0.0
1981-03-15,1981.2,,4.718537159217053e6,290.745082194133,1.4169826475560472,-0.3253568,-0.26787138,0.7376565057774466,0.0
1981-03-16,1981.2027397260274,,4.718827913256943e6,290.7629977693152,1.407003008169926,-0.3253568,-0.26787138,0.7376565057774466,0.0
1981-03-17,1981.2054794520548,,4.71911868521296e6,290.78091444844665,1.4107271640229424,-0.3253568,-0.26787138,0.7376565057774466,0.0
1981-03-18,1981.2082191780821,,4.7194094750862075e6,290.79883223159555,1.375581724326127,-0.3253568,-0.26787138,0.7376565057774466,0.0
1981-03-19,1981.2109589041097,,4.71970028287779e6,290.81675111882976,1.4091133937403646,-0.3253568,-0.26787138,0.7376565057774466,0.0
1981-03-20,1981.213698630137,,4.719991108588813e6,290.8346711102174,1.3824955427624377,-0.3253568,-0.26787138,0.7376565057774466,0.0
1981-03-21,1981.2164383561644,,4.720281952220379e6,290.8525922058265,1.3766471280967532,-0.3253568,-0.26787138,0.7376565057774466,0.0
1981-03-22,1981.2191780821918,,4.720572813773592e6,290.87051440572503,1.3575808953397053,-0.3253568,-0.26787138,0.7376565057774466,0.0
1981-03-23,1981.2219178082191,,4.720863693249559e6,290.88843770998113,1.4128999877928274,-0.3253568,-0.26787138,0.7376565057774466,0.0
1981-03-24,1981.2246575342465,,4.721154590649381e6,290.9063621186628,1.4164108066680394,-0.3253568,-0.26787138,0.7376565057774466,0.0
1981-03-25,1981.227397260274,,4.721445505974164e6,290.92428763183807,1.329356528130877,-0.3253568,-0.26787138,0.7376565057774466,0.0
1981-03-26,1981.2301369863014,,4.721736439225012e6,290.94221424957504,1.306109825241349,-0.3253568,-0.26787138,0.7376565057774466,0.0
1981-03-27,1981.2328767123288,,4.72202739040303e6,290.96014197194177,1.3359065362290743,-0.3253568,-0.26787138,0.7376565057774466,0.0
1981-03-28,1981.2356164383561,,4.722318359509325e6,290.97807079900633,1.3675821771081025,-0.3253568,-0.26787138,0.7376565057774466,0.0
1981-03-29,1981.2383561643835,,4.722609346544997e6,290.9960007308367,1.4082863615895784,-0.3253568,-0.26787138,0.7376565057774466,0.0
1981-03-30,1981.2410958904109,,4.722900351511154e6,291.01393176750116,1.4168661120166195,-0.3253568,-0.26787138,0.7376565057774466,0.0
1981-03-31,1981.2438356164384,77.0,4.723191374408902e6,291.0318639090676,1.398232084734086,-0.3253568,-0.26787138,0.7376565057774466,0.0
1981-04-01,1981.2465753424658,,4.723482415239341e6,291.04979715560415,1.1890128505682729,-0.3253568,-0.26787138,0.7376565057774466,0.0
1981-04-02,1981.2493150684932,,4.723773474003581e6,291.06773150717896,1.4129943340059294,-0.3253568,-0.26787138,0.7376565057774466,0.0
1981-04-03,1981.2520547945205,,4.724064550702724e6,291.08566696386004,1.416811488419582,-0.3253568,-0.26787138,0.7376565057774466,0.0
1981-04-04,1981.2547945205479,,4.724355645337876e6,291.1036035257155,1.4112204551474603,-0.3253568,-0.26787138,0.7376565057774466,0.0
1981-04-05,1981.2575342465752,,4.724646757910144e6,291.12154119281354,1.4160496508138425,-0.3253568,-0.26787138,0.7376565057774466,0.0
1981-04-06,1981.2602739726028,,4.724937888420631e6,291.1394799652221,1.3924175364515516,-0.3253568,-0.26787138,0.7376565057774466,0.0
1981-04-07,1981.2630136986302,,4.725229036870442e6,291.15741984300945,1.381899807362449,-0.3253568,-0.26787138,0.7376565057774466,0.0
1981-04-08,1981.2657534246575,,4.725520203260685e6,291.1753608262436,1.386049246182997,-0.3253568,-0.26787138,0.7376565057774466,0.0
1981-04-09,1981.268493150685,,4.725811387592464e6,291.1933029149927,1.4026494072834466,-0.3253568,-0.26787138,0.7376565057774466,0.0
1981-04-10,1981.2712328767122,,4.726102589866883e6,291.21124610932486,1.4165999424738098,-0.3253568,-0.26787138,0.7376565057774466,0.0
1981-04-11,1981.2739726027398,,4.726393810085051e6,291.2291904093082,1.3675442182876223,-0.3253568,-0.26787138,0.7376565057774466,0.0
1981-04-12,1981.2767123287672,,4.726685048248071e6,291.24713581501095,1.1122479964188463,-0.3253568,-0.26787138,0.7376565057774466,0.0
1981-04-13,1981.2794520547945,,4.72697630435705e6,291.26508232650104,0.7238041749475844,-0.3253568,-0.26787138,0.7376565057774466,0.0
1981-04-14,1981.282191780822,,4.7272675784130925e6,291.28302994384677,0.9504017103734032,-0.3253568,-0.26787138,0.7376565057774466,0.0
1981-04-15,1981.2849315068493,,4.727558870417306e6,291.3009786671163,1.1637632454804212,-0.3253568,-0.26787138,0.7376565057774466,0.0
1981-04-16,1981.2876712328766,,4.727850180370795e6,291.31892849637757,1.2750755058339105,-0.3253568,-0.26787138,0.7376565057774466,0.0
